Cửa hàng,Tổng shipment,Đơn hủy,Đơn đã giao,Đơn trễ giao,Tỉ lệ trễ (%),Số ngày trễ TB
SHOP - 296 LANH BINH THANG,3,1,2,0,0.0,0.00
SHOP - 350 TAN SON NHI,5,3,2,0,0.0,0.00
SHOP - 246 DUONG BA TRAC,3,2,1,0,0.0,0.00
SHOP - 442 PHAM HUNG,3,2,1,0,0.0,0.00
SHOP - 31 PHO QUANG,3,2,1,0,0.0,0.00
SHOP - 170 QUOC LO 1A - MTG,2,1,1,0,0.0,0.00
SHOP - 1 NGUYEN VAN LINH,3,2,1,0,0.0,0.00
SHOP - 89 3 THANG 2,2,0,2,0,0.0,0.00
SHOP - 361 HO THI HUONG,3,3,0,0,0.0,0.00
SHOP - 185 NGUYEN TRAI,7,4,3,0,0.0,0.00
SHOP - 363 TO NGOC VAN,3,1,2,0,0.0,0.00
SHOP - 694 AU CO,3,1,2,0,0.0,0.00
SHOP - 12 NGUYEN DINH CHIEU,2,2,0,0,0.0,0.00
SHOP - 402 LE DUC THO,7,3,4,0,0.0,0.00
SHOP - 59 QUANG TRUNG,1,1,0,0,0.0,0.00
SHOP - 39 NGUYEN VAN TANG,2,1,1,0,0.0,0.00
SHOP - 420 HUYNH TAN PHAT,2,1,1,0,0.0,0.00
SHOP - 40 BACH MAI,1,1,0,0,0.0,0.00
SHOP - 432 QUOC LO 91,1,1,0,0,0.0,0.00
SHOP - 1030 LE VAN LUONG,1,1,0,0,0.0,0.00
SHOP - 650 NGUYEN ANH THU,1,0,1,0,0.0,0.00
SHOP - 219 NGUYEN THI THAP,4,2,2,0,0.0,0.00
SHOP - 112 TRAN NAO,3,3,0,0,0.0,0.00
SHOP - 723 CACH MANG THANG TAM,1,1,0,0,0.0,0.00
SHOP - 109 NGUYEN DUY TRINH,2,1,1,0,0.0,0.00
SHOP - 274 AU CO,1,0,1,0,0.0,0.00
SHOP - 1838 HUYNH TAN PHAT,1,1,0,0,0.0,0.00
